Date : 2024-05-03 09:59:57
Directory : /home/luis/DESARROLLO/panellaravel/resources
Total : 125 files,  10103 codes, 227 comments, 3412 blanks, all 13742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/flash-message.blade.php                   | PHP        |          4 |          0 |          1 |          5 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/form-section.blade.php                    | PHP        |         21 |          0 |          4 |         25 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/input-error.blade.php                     | PHP        |          4 |          0 |          2 |          6 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/input.blade.php                           | PHP        |          2 |          0 |          2 |          4 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/label.blade.php                           | PHP        |          4 |          0 |          2 |          6 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/modal.blade.php                           | PHP        |         39 |          0 |          5 |         44 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/nav-link.blade.php                        | PHP        |          9 |          0 |          3 |         12 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/responsive-nav-link.blade.php             | PHP        |          9 |          0 |          3 |         12 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/secondary-button.blade.php                | PHP        |          3 |          0 |          1 |          4 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/section-border.blade.php                  | PHP        |          5 |          0 |          1 |          6 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/section-title.blade.php                   | PHP        |         11 |          0 |          3 |         14 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/switchable-team.blade.php                 | PHP        |         17 |          0 |          5 |         22 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/validation-errors.blade.php               | PHP        |         10 |          0 |          2 |         12 |
| /home/luis/DESARROLLO/panellaravel/resources/views/components/welcome.blade.php                         | PHP        |         82 |          0 |         15 |         97 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createAccount.blade.php                              | PHP        |         95 |          0 |         41 |        136 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createBuilding.blade.php                             | PHP        |         55 |          0 |         36 |         91 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createExpense.blade.php                              | PHP        |        416 |         74 |        156 |        646 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createInvoice.blade.php                              | PHP        |        270 |         15 |        120 |        405 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createLandlord.blade.php                             | PHP        |         68 |          0 |         37 |        105 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createLease.blade.php                                | PHP        |        204 |          6 |         73 |        283 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createPayment.blade.php                              | PHP        |        282 |         35 |        133 |        450 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createRescission.blade.php                           | PHP        |        164 |          5 |         67 |        236 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createSubproperty.blade.php                          | PHP        |        150 |          7 |         64 |        221 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createSupplier.blade.php                             | PHP        |         62 |          0 |         33 |         95 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createTenant.blade.php                               | PHP        |         83 |          0 |         28 |        111 |
| /home/luis/DESARROLLO/panellaravel/resources/views/createproperty.blade.php                             | PHP        |        110 |          7 |         46 |        163 |
| /home/luis/DESARROLLO/panellaravel/resources/views/dashboard.blade.php                                  | PHP        |         14 |          0 |          2 |         16 |
